dead_line,description,state_enum
2023-06-27,Solve the mystery,PENDING
2023-02-16,Defeat the enemy,COMPLETED
2023-01-10,Solve the mystery,PENDING
2023-08-21,Collect all the items,COMPLETED
2023-03-11,Solve the mystery,COMPLETED
2023-02-25,Solve the mystery,PENDING
2023-07-16,Complete the puzzle,IN_PROCESS
2023-07-26,Defeat the enemy,COMPLETED
2022-12-29,Collect all the items,PENDING
2023-02-02,Defeat the enemy,IN_PROCESS
2023-09-17,Collect all the items,PENDING
2023-01-28,Complete the puzzle,COMPLETED
2022-01-11,Complete the puzzle,COMPLETED
2022-06-07,Complete the puzzle,COMPLETED
2022-09-14,Complete the puzzle,IN_PROCESS
2023-11-03,Complete the puzzle,PENDING
2023-03-22,Collect all the items,IN_PROCESS
2023-09-06,Reach the finish line,PENDING
2022-05-10,Defeat the enemy,PENDING
2022-06-16,Defeat the enemy,IN_PROCESS
2023-08-02,Complete the puzzle,IN_PROCESS
2022-06-29,Collect all the items,PENDING
2023-07-28,Collect all the items,COMPLETED
2023-07-21,Complete the puzzle,PENDING
2022-03-13,Collect all the items,IN_PROCESS
2022-03-25,Collect all the items,PENDING
2023-03-02,Solve the mystery,IN_PROCESS
2023-07-17,Solve the mystery,IN_PROCESS
2022-04-28,Solve the mystery,COMPLETED
2022-06-26,Solve the mystery,IN_PROCESS
2022-01-22,Collect all the items,COMPLETED
2023-10-26,Reach the finish line,COMPLETED
2022-03-30,Complete the puzzle,IN_PROCESS
2023-05-17,Complete the puzzle,IN_PROCESS
2022-03-25,Solve the mystery,COMPLETED
2023-11-22,Defeat the enemy,IN_PROCESS
2023-05-31,Reach the finish line,PENDING
2023-10-13,Complete the puzzle,PENDING
2023-04-18,Defeat the enemy,PENDING
2022-04-20,Collect all the items,COMPLETED
2022-05-01,Reach the finish line,IN_PROCESS
2023-04-16,Collect all the items,COMPLETED
2023-09-03,Complete the puzzle,IN_PROCESS
2022-10-01,Defeat the enemy,IN_PROCESS
2022-06-26,Solve the mystery,COMPLETED
2022-04-14,Complete the puzzle,IN_PROCESS
2021-12-15,Collect all the items,COMPLETED
2023-08-27,Reach the finish line,PENDING
2022-08-07,Complete the puzzle,COMPLETED
2023-05-14,Collect all the items,PENDING
2022-02-20,Reach the finish line,PENDING
2023-01-30,Reach the finish line,COMPLETED
2023-07-25,Reach the finish line,COMPLETED
2023-02-19,Solve the mystery,COMPLETED
2022-08-11,Defeat the enemy,IN_PROCESS
2022-11-23,Solve the mystery,PENDING
2023-03-22,Reach the finish line,IN_PROCESS
2022-02-25,Defeat the enemy,IN_PROCESS
2023-01-07,Defeat the enemy,PENDING
2023-10-16,Reach the finish line,COMPLETED
2022-10-23,Defeat the enemy,COMPLETED
2023-10-27,Solve the mystery,COMPLETED
2023-07-15,Defeat the enemy,PENDING
2023-08-03,Solve the mystery,IN_PROCESS
2022-03-18,Reach the finish line,PENDING
2023-01-09,Complete the puzzle,IN_PROCESS
2023-11-17,Collect all the items,IN_PROCESS
2023-04-17,Solve the mystery,PENDING
2022-07-12,Collect all the items,COMPLETED
2023-09-16,Reach the finish line,PENDING
2023-07-29,Complete the puzzle,IN_PROCESS
2022-03-07,Solve the mystery,IN_PROCESS
2022-11-15,Defeat the enemy,COMPLETED
2023-01-10,Defeat the enemy,PENDING
2023-04-20,Reach the finish line,COMPLETED
2022-12-21,Solve the mystery,PENDING
2022-04-27,Collect all the items,COMPLETED
2022-06-16,Solve the mystery,IN_PROCESS
2023-09-08,Collect all the items,PENDING
2023-03-31,Complete the puzzle,COMPLETED
2023-09-10,Collect all the items,COMPLETED
2022-02-24,Reach the finish line,PENDING
2022-08-29,Defeat the enemy,IN_PROCESS
2022-04-21,Solve the mystery,COMPLETED
2022-02-19,Solve the mystery,COMPLETED
2023-09-29,Solve the mystery,PENDING
2023-05-09,Collect all the items,IN_PROCESS
2023-05-02,Complete the puzzle,PENDING
2023-03-04,Complete the puzzle,COMPLETED
2022-12-15,Reach the finish line,PENDING
2022-10-03,Defeat the enemy,IN_PROCESS
2023-02-02,Reach the finish line,COMPLETED
2022-02-27,Solve the mystery,COMPLETED
2023-01-06,Complete the puzzle,PENDING
2022-07-10,Collect all the items,COMPLETED
2023-03-21,Collect all the items,PENDING
2023-04-24,Solve the mystery,PENDING
2021-12-30,Defeat the enemy,IN_PROCESS
2022-06-21,Collect all the items,IN_PROCESS
2023-02-17,Solve the mystery,COMPLETED
2022-11-13,Collect all the items,PENDING
2023-06-06,Defeat the enemy,IN_PROCESS
2022-01-19,Solve the mystery,COMPLETED
2022-08-02,Solve the mystery,PENDING
2023-06-17,Solve the mystery,COMPLETED
2023-11-12,Solve the mystery,PENDING
2023-03-29,Complete the puzzle,PENDING
2023-02-04,Solve the mystery,COMPLETED
2023-07-26,Solve the mystery,COMPLETED
2023-08-04,Complete the puzzle,COMPLETED
2022-02-04,Solve the mystery,COMPLETED
2023-05-21,Reach the finish line,COMPLETED
2022-01-19,Complete the puzzle,IN_PROCESS
2022-06-23,Collect all the items,PENDING
2023-07-24,Collect all the items,PENDING
2022-10-13,Reach the finish line,COMPLETED
2023-08-18,Collect all the items,COMPLETED
2022-04-05,Collect all the items,COMPLETED
2023-08-06,Reach the finish line,PENDING
2022-01-07,Reach the finish line,COMPLETED
2022-06-09,Defeat the enemy,PENDING
2023-05-29,Complete the puzzle,COMPLETED
2023-07-07,Collect all the items,PENDING
2023-07-28,Collect all the items,IN_PROCESS
2023-07-31,Complete the puzzle,COMPLETED
2022-11-19,Collect all the items,IN_PROCESS
2021-12-15,Complete the puzzle,IN_PROCESS
2023-09-01,Solve the mystery,IN_PROCESS
2023-10-15,Complete the puzzle,PENDING
2023-06-22,Solve the mystery,COMPLETED
2022-04-06,Complete the puzzle,PENDING
2022-07-29,Solve the mystery,PENDING
2023-01-08,Defeat the enemy,COMPLETED
2023-11-12,Complete the puzzle,COMPLETED
2021-12-20,Reach the finish line,COMPLETED
2023-09-02,Solve the mystery,COMPLETED
2023-03-24,Defeat the enemy,COMPLETED
2023-07-02,Defeat the enemy,COMPLETED
2022-05-03,Complete the puzzle,IN_PROCESS
2023-09-10,Reach the finish line,COMPLETED
2022-03-25,Solve the mystery,COMPLETED
2023-02-01,Defeat the enemy,IN_PROCESS
2023-07-25,Defeat the enemy,COMPLETED
2023-10-01,Complete the puzzle,COMPLETED
2023-07-20,Defeat the enemy,COMPLETED
2022-08-05,Defeat the enemy,IN_PROCESS
2022-12-02,Reach the finish line,COMPLETED
2022-06-29,Collect all the items,COMPLETED
2021-12-30,Reach the finish line,IN_PROCESS
2022-08-01,Defeat the enemy,COMPLETED
2022-12-14,Defeat the enemy,COMPLETED
2023-09-04,Collect all the items,COMPLETED
2023-10-14,Collect all the items,COMPLETED
2023-03-21,Solve the mystery,PENDING
2023-11-28,Reach the finish line,PENDING
2022-04-09,Reach the finish line,PENDING
2021-12-28,Complete the puzzle,PENDING
2022-08-24,Defeat the enemy,IN_PROCESS
2021-12-02,Collect all the items,IN_PROCESS
2022-01-27,Complete the puzzle,PENDING
2023-08-22,Complete the puzzle,IN_PROCESS
2022-06-04,Defeat the enemy,PENDING
2023-08-24,Complete the puzzle,PENDING
2022-05-19,Solve the mystery,COMPLETED
2022-09-22,Defeat the enemy,IN_PROCESS
2023-03-14,Solve the mystery,PENDING
2022-05-21,Reach the finish line,COMPLETED
2022-12-21,Solve the mystery,PENDING
2023-07-12,Solve the mystery,COMPLETED
2022-10-12,Reach the finish line,PENDING
2022-11-20,Complete the puzzle,COMPLETED
2023-04-05,Solve the mystery,IN_PROCESS
2023-08-22,Complete the puzzle,PENDING
2021-12-22,Reach the finish line,COMPLETED
2023-10-28,Solve the mystery,PENDING
2022-04-30,Defeat the enemy,COMPLETED
2023-11-15,Collect all the items,IN_PROCESS
2023-07-19,Solve the mystery,IN_PROCESS
2023-05-15,Collect all the items,PENDING
2023-07-06,Defeat the enemy,PENDING
2023-04-17,Solve the mystery,COMPLETED
2023-04-22,Solve the mystery,IN_PROCESS
2022-08-31,Complete the puzzle,COMPLETED
2022-07-17,Solve the mystery,IN_PROCESS
2023-03-16,Solve the mystery,PENDING
2022-02-08,Defeat the enemy,PENDING
2023-05-29,Complete the puzzle,COMPLETED
2023-11-23,Defeat the enemy,IN_PROCESS
2022-06-18,Defeat the enemy,IN_PROCESS
2023-09-20,Complete the puzzle,PENDING
2022-10-28,Solve the mystery,PENDING
2023-08-09,Defeat the enemy,COMPLETED
2022-04-14,Defeat the enemy,COMPLETED
2023-04-15,Collect all the items,PENDING
2023-10-01,Complete the puzzle,COMPLETED
2022-06-28,Reach the finish line,COMPLETED
2022-02-14,Collect all the items,COMPLETED
2022-02-16,Defeat the enemy,COMPLETED
2023-06-22,Solve the mystery,PENDING
2023-07-23,Solve the mystery,PENDING
2023-01-31,Solve the mystery,PENDING
2022-12-14,Reach the finish line,PENDING
2023-03-24,Collect all the items,COMPLETED
2023-10-26,Complete the puzzle,PENDING
2023-05-18,Complete the puzzle,IN_PROCESS
2023-09-22,Reach the finish line,PENDING
2022-12-25,Defeat the enemy,COMPLETED
2022-06-04,Collect all the items,PENDING
2022-12-04,Defeat the enemy,PENDING
2022-06-01,Collect all the items,COMPLETED
2023-03-23,Collect all the items,COMPLETED
2023-07-27,Complete the puzzle,PENDING
2023-04-13,Defeat the enemy,COMPLETED
2022-02-21,Collect all the items,IN_PROCESS
2021-12-12,Reach the finish line,IN_PROCESS
2023-02-26,Defeat the enemy,PENDING
2023-07-04,Defeat the enemy,COMPLETED
2022-01-22,Reach the finish line,IN_PROCESS
2022-05-08,Solve the mystery,PENDING
2022-09-09,Defeat the enemy,COMPLETED
2022-08-29,Reach the finish line,COMPLETED
2022-04-05,Collect all the items,COMPLETED
2022-04-21,Solve the mystery,IN_PROCESS
2023-07-17,Complete the puzzle,PENDING
2023-11-16,Defeat the enemy,PENDING
2021-12-03,Defeat the enemy,IN_PROCESS
2023-06-14,Solve the mystery,PENDING
2022-07-11,Complete the puzzle,PENDING
2022-08-21,Reach the finish line,IN_PROCESS
2022-02-27,Defeat the enemy,PENDING
2022-06-23,Defeat the enemy,IN_PROCESS
2022-04-08,Collect all the items,COMPLETED
2022-11-19,Reach the finish line,IN_PROCESS
2023-09-18,Reach the finish line,PENDING
2023-11-23,Complete the puzzle,COMPLETED
2022-09-14,Defeat the enemy,COMPLETED
2023-01-01,Complete the puzzle,COMPLETED
2023-01-19,Defeat the enemy,PENDING
2022-09-16,Reach the finish line,PENDING
2022-11-17,Defeat the enemy,COMPLETED
2023-08-24,Collect all the items,IN_PROCESS
2022-04-11,Solve the mystery,IN_PROCESS
2023-08-14,Complete the puzzle,COMPLETED
2022-08-28,Complete the puzzle,PENDING
2023-02-26,Defeat the enemy,PENDING
2023-02-08,Complete the puzzle,IN_PROCESS
2021-12-06,Reach the finish line,IN_PROCESS
2023-07-27,Complete the puzzle,COMPLETED
2023-11-17,Solve the mystery,IN_PROCESS
2022-12-05,Defeat the enemy,COMPLETED
2022-04-07,Reach the finish line,PENDING
2021-12-29,Reach the finish line,PENDING
2022-01-27,Defeat the enemy,IN_PROCESS
2023-11-24,Collect all the items,IN_PROCESS
2022-11-26,Solve the mystery,COMPLETED
2022-06-26,Reach the finish line,COMPLETED
2022-08-07,Collect all the items,COMPLETED
2022-04-13,Solve the mystery,COMPLETED
2023-04-10,Defeat the enemy,COMPLETED
2022-06-09,Complete the puzzle,COMPLETED
2022-02-21,Defeat the enemy,COMPLETED
2023-05-08,Reach the finish line,IN_PROCESS
2022-08-10,Complete the puzzle,IN_PROCESS
2023-04-12,Collect all the items,IN_PROCESS
2022-12-26,Solve the mystery,IN_PROCESS
2023-07-08,Reach the finish line,PENDING
2022-11-14,Reach the finish line,PENDING
2023-02-11,Defeat the enemy,PENDING
2022-03-27,Collect all the items,IN_PROCESS
2023-04-25,Complete the puzzle,PENDING
2023-01-01,Defeat the enemy,COMPLETED
2022-11-14,Solve the mystery,PENDING
2022-06-29,Reach the finish line,PENDING
2023-10-22,Collect all the items,PENDING
2023-02-23,Defeat the enemy,COMPLETED
2022-09-11,Complete the puzzle,IN_PROCESS
2022-02-13,Defeat the enemy,PENDING
2023-08-26,Complete the puzzle,IN_PROCESS
2022-03-27,Defeat the enemy,PENDING
2022-01-31,Collect all the items,COMPLETED
2023-07-01,Solve the mystery,IN_PROCESS
2023-10-21,Defeat the enemy,IN_PROCESS
2023-08-18,Collect all the items,PENDING
2022-04-16,Complete the puzzle,IN_PROCESS
2023-11-09,Solve the mystery,IN_PROCESS
2022-08-01,Solve the mystery,COMPLETED
2022-12-23,Defeat the enemy,PENDING
2022-04-21,Reach the finish line,IN_PROCESS
2022-03-31,Collect all the items,PENDING
2022-09-26,Solve the mystery,PENDING
2022-06-28,Complete the puzzle,COMPLETED
2022-12-05,Complete the puzzle,IN_PROCESS
2023-03-20,Reach the finish line,PENDING
2022-05-31,Solve the mystery,IN_PROCESS
2021-12-11,Collect all the items,COMPLETED
2023-11-21,Defeat the enemy,PENDING
2021-12-23,Solve the mystery,PENDING
2023-11-15,Solve the mystery,COMPLETED
2023-05-18,Reach the finish line,IN_PROCESS
2023-11-28,Reach the finish line,IN_PROCESS
2023-07-25,Collect all the items,PENDING
2022-06-08,Reach the finish line,COMPLETED
2023-06-06,Collect all the items,COMPLETED
2022-03-26,Reach the finish line,IN_PROCESS
2023-03-04,Complete the puzzle,PENDING
2022-04-28,Complete the puzzle,IN_PROCESS
2021-12-25,Reach the finish line,COMPLETED
2022-01-04,Reach the finish line,PENDING
2023-06-02,Defeat the enemy,PENDING
2022-04-25,Defeat the enemy,COMPLETED
2023-08-08,Complete the puzzle,PENDING
2022-05-29,Defeat the enemy,IN_PROCESS
2022-02-20,Defeat the enemy,PENDING
2023-02-11,Solve the mystery,COMPLETED
2022-04-24,Reach the finish line,PENDING
2022-10-04,Reach the finish line,PENDING
2021-12-15,Reach the finish line,PENDING
2022-08-13,Complete the puzzle,PENDING
2022-01-21,Defeat the enemy,PENDING
2023-04-28,Complete the puzzle,IN_PROCESS
2021-12-03,Reach the finish line,COMPLETED
2023-04-06,Collect all the items,IN_PROCESS
2022-10-25,Solve the mystery,PENDING
2023-08-11,Collect all the items,PENDING
2023-01-11,Solve the mystery,IN_PROCESS
2022-07-19,Reach the finish line,PENDING
2023-03-27,Defeat the enemy,PENDING
2023-07-24,Collect all the items,PENDING
2022-02-09,Solve the mystery,IN_PROCESS
2021-12-31,Collect all the items,PENDING
2023-11-29,Collect all the items,COMPLETED
2022-01-20,Complete the puzzle,COMPLETED
2023-02-18,Defeat the enemy,PENDING
2023-11-22,Collect all the items,COMPLETED
2023-05-23,Reach the finish line,COMPLETED
2023-08-03,Reach the finish line,IN_PROCESS
2022-11-10,Reach the finish line,COMPLETED
2023-05-20,Defeat the enemy,IN_PROCESS
2022-01-25,Collect all the items,COMPLETED
2023-04-20,Collect all the items,IN_PROCESS
2023-10-25,Complete the puzzle,COMPLETED
2023-04-12,Reach the finish line,IN_PROCESS
2022-09-27,Reach the finish line,IN_PROCESS
2023-08-21,Collect all the items,PENDING
2021-12-15,Defeat the enemy,PENDING
2023-10-01,Collect all the items,PENDING
2022-08-02,Collect all the items,COMPLETED
2023-03-04,Reach the finish line,COMPLETED
2023-04-12,Solve the mystery,PENDING
2022-11-08,Complete the puzzle,IN_PROCESS
2022-11-18,Reach the finish line,COMPLETED
2023-08-19,Defeat the enemy,COMPLETED
2023-06-10,Collect all the items,PENDING
2023-07-02,Solve the mystery,PENDING
2022-05-05,Complete the puzzle,IN_PROCESS
2023-09-07,Solve the mystery,PENDING
2022-06-06,Complete the puzzle,IN_PROCESS
2022-02-16,Collect all the items,IN_PROCESS
2023-05-24,Solve the mystery,COMPLETED
2022-03-24,Collect all the items,IN_PROCESS
2022-06-25,Solve the mystery,PENDING
2022-07-28,Collect all the items,COMPLETED
2022-01-30,Reach the finish line,COMPLETED
2023-03-10,Reach the finish line,COMPLETED
2022-09-12,Complete the puzzle,IN_PROCESS
2023-04-05,Defeat the enemy,COMPLETED
2022-04-21,Reach the finish line,PENDING
2022-06-25,Defeat the enemy,IN_PROCESS
2022-03-08,Reach the finish line,PENDING
2022-09-16,Reach the finish line,IN_PROCESS
2022-01-29,Collect all the items,PENDING
2022-07-13,Complete the puzzle,PENDING
